name,description,indication
Pumosetrag,pumosetrag used trial studying gastroesophageal reflux disease ,
Samarium,samarium used trial studying treatment prevention pain cancer metastasis prostate cancer metastatic osteosarcoma among others ,
Remimazolam,remimazolam ultra short-acting benzodiazepine used induction maintenance sedation short 30 minute procedure l14647 recent trend anesthesia-related drug development touted benefit so-called `` soft drug '' agent remifentanil designed metabolically fragile thus susceptible rapid biotransformation elimination inactive metabolite a214857 `` soft drug '' useful context surgical procedure wherein rapid onset/offset desirable enabling anesthesiologist manipulate drug concentration needed a214852 a214857 remimazolam first `` soft '' benzodiazepine analog developed a214862 approved use fda july 2020 brand name byfavo l14722 ,remimazolam indicated induction maintenance procedural sedation adult undergoing procedure lasting 30 minute le l14647 
Triciribine,triciribine used trial studying treatment leukemia ovarian cancer her2/neu negative breast adenocarcinoma stage iv breast cancer among others ,
Lisofylline,lisofylline investigated treatment type 1 diabetes mellitus ,
Iobitridol,iobitridol used trial studying diagnostic diagnostic imaging coronary artery disease type 2 diabetes mellitus coronary atherosclerosis ,
PF-03635659,pf03635659 used trial studying treatment chronic obstructive pulmonary disease ,
Vatreptacog alfa,vatreptacog alfa activated used trial studying treatment haemophilia b haemophilia congenital bleeding disorder haemophilia inhibitor haemophilia b inhibitor ,
Sabarubicin,sabarubicin used trial studying treatment prostate cancer testicular germ cell tumor unspecified adult solid tumor protocol specific ,
Bemcentinib,bemcentinib investigated treatment non-small cell lung cancer ,
Gemigliptin,gemigliptin investigation type 2 diabetes mellitus gemigliptin investigated treatment cancer cisplatin adverse reaction ,
Indusatumab vedotin,indusatumab vedotin used trial studying treatment pancreatic adenocarcinoma adenocarcinoma stomach recurrent gastric adenocarcinoma metastatic gastric adenocarcinoma advanced gastrointestinal carcinoma among others ,
Usistapide,usistapide used trial studying treatment obesity overweight metabolic disease nutrition disorder nutritional metabolic disease ,
Galeterone,galeterone used trial studying treatment prostate cancer ,
VTP-27999,vtp-27999 used trial studying basic science renal function ,
Anagliptin,anagliptin investigation treatment ldl cholesterol coronary disease diabetes mellitus glycosylated hemoglobin dipeptidyl-peptidase 4 inhibitor ,
Saccharin,saccharin investigated treatment hypertension hyperglycemia ,
HSD-016,hsd 016 investigation clinical trial nct00838461 study evaluating safety pharmacokinetics pk pharmacodynamices pd hsd-016 ,
Diazepinomicin,diazepinomicin used trial studying treatment glioblastoma multiforme proprietary first-in-class small molecule potential treat multiple solid tumour like well known chemotherapeutics doxorubicin mitomycin c. diazepinomicin natural product derived non-pathogenic micro-organism discovered using thallion ’ decipher technology diazepinomicin completed preclinical study conducted national cancer institute thallion establish safety efficacy animal vitro model ,
Somavaratan,somavaratan used trial studying treatment growth disorder adult growth hormone deficiency ,
Sulforaphane,sulforaphane investigation treatment autism spectrum disorder naturally occurring isothiocyanate found high concentration variety broccoli ,
Fozivudine Tidoxil,fozivudine tidoxil used trial studying treatment hiv infection ,
MK-3207,mk3207 used trial studying treatment migraine migraine disorder ,
Liothyronine I-131,liothyronine i-131 used trial studying treatment tricuspid atresia heart defect congenital ,
Bitopertin,bitopertin used trial studying treatment schizophrenia obsessive-compulsive disorder ,
Orvepitant,orvepitant used trial studying treatment depressive disorder depressive disorder major post-traumatic stress disorder posttraumatic stress disorder ptsd ,
PAC-14028,pac-14028 used trial studying treatment skin pruritus papulopustular rosacea erythematotelangiectatic rosacea ,
CI-1040,ci-1040 used trial studying treatment lung cancer breast cancer breast neoplasm pancreatic cancer colorectal cancer among others ,
Muplestim,muplestim investigation clinical trial nct00002258 phase open label trial evaluate safety tolerance biological effect sdz ile-964 recombinant human interleukin-3 rhil-3 hiv infected patient cytopenia ,
CC-401,cc-401 used trial studying treatment myeloid leukemia ,
SCH-900271,sch 900271 used trial studying treatment mixed hyperlipidemia primary hypercholesterolemia ,
Steviolbioside,steviolbioside used trial studying treatment hiv-1 infection ,
Tipelukast,tipelukast investigation treatment ipf idiopathic pulmonary fibrosis ,
Vofopitant,vofopitant used trial studying treatment ptsd primary insomnia sleep initiation maintenance disorder ,
Filociclovir,filociclovir investigation clinical trial nct01433835 safety pharmacokinetics single oral dos filociclovir healthy volunteer ,
Ioforminol,ioforminol used trial studying diagnostic cardio renal safety high-risk elderly subject undergoing coronary cath without pci ,
Verdiperstat,verdiperstat used trial studying basic science treatment multiple system atrophy msa ,
Tavilermide,tavilermide investigated treatment dry eye syndrome ,
Alvespimycin,alvespimycin derivative geldanamycin heat shock protein hsp 90 inhibitor used trial studying treatment solid tumor various cancer antitumor agent comparison first hsp90 inhibitor tanespimycin exhibit pharmacologically desirable property reduced metabolic liability lower plasma protein binding increased water solubility higher oral bioavailability reduced hepatotoxicity superior antitumor activity a19243 ,investigated use antineoplastic agent solid tumor advanced solid tumour acute myeloid leukaemia 
Sonedenoson,sonedenoson used trial studying treatment foot ulcer diabetic diabetes complication ,
Theanine,theanine precursor ethylamine found green tea investigation clinical trial nct00291070 effect l-theanine boy adhd ,
Nitroaspirin,nitroaspirin investigated treatment intermittent claudication ,
Derenofylline,derenofylline used trial studying treatment congestive heart failure acute decompensated heart failure renal dysfunction ,
Nadifloxacin,nadifloxacin used trial studying treatment acne vulgaris ,
Lifibrol,lifibrol used trial studying basic science hyperlipoproteinemia hypercholesterolemia ,
Tempol,tempol used trial studying treatment anal cancer ,
Propyl Gallate,propyl gallate investigation clinical trial nct01450098 study ly2484595 healthy subject ,
SCY-635,scy-635 investigated treatment chronic hepatitis c hepatitis c infection ,
Caprylic alcohol,caprylic alcohol used trial studying treatment essential tremor ,
Chlorine dioxide,chlorine dioxide used trial studying treatment halitosis ,
Zalypsis,zalypsis used trial studying treatment lymphoma solid tumor ewing 's sarcoma endometrial cancer uterine cervical cancer among others ,
Omadacycline,omadacycline used trial studying treatment bacterial pneumonia bacterial infection community-acquired infection skin structure soft tissue infection omadacycline represents significant advance well-known tetracycline family shown highly effective animal model treating increasingly problematic clinically prevalent infection caused gram-positive bacteria methicillin-resistant staphylococcus aureus mrsa gram-negative atypical anaerobic bacteria including resistant currently available class antibiotic known cause disease pneumonia urinary tract infection skin disease blood-borne infection hospital community setting ,omadacycline indicated treatment community acquired bacterial pneumonia acute bacterial skin skin structure infection caused omadacycline-susceptible organism adult fda label 
